"proj","Alt","month","CY","WY","Date.monCY","Season","Inflow.Q.m3","Outflow.Q.m3","mean.vol.km3","WRT.yr","mean.depth.m","mean.delta.min","mean.STG"
"LOCAR","ECB23L",7,1965,1965,1965-07-01,"Summer",200092698.153763,31251189.3145612,3.32547789254458,8.86760356294424,2.28621902792505,0.708137209417776,12.2081372094178
"LOCAR","ECB23L",7,2012,2012,2012-07-01,"Summer",145938644.366632,59345352.5636456,3.10280374655597,4.35698782987869,2.18093107151606,0.200870852450901,11.7008708524509
"LOCAR","ECB23L",7,1972,1972,1972-07-01,"Summer",134049578.909878,78062424.2232285,3.07848467391692,3.28634925248376,2.1690501938564,0.14473552207381,11.6447355220738
"LOCAR","ECB23L",7,2010,2010,2010-07-01,"Summer",200275491.448108,113953299.774582,4.66776579506571,3.4135078465618,2.66525798606962,3.46673153040075,14.9667315304007
"LOCAR","ECB23L",7,2006,2006,2006-07-01,"Summer",34373281.8445176,25589357.4520748,3.6295507637134,11.8198576970622,2.41182093511611,1.38367204708928,12.8836720470893
"LOCAR","ECB23L",7,1979,1979,1979-07-01,"Summer",66404368.6011047,71009881.4761033,3.79555071757909,4.45425181054602,2.46100997297088,1.74077272483599,13.240772724836
"LOCAR","ECB23L",7,1969,1969,1969-07-01,"Summer",113054862.021929,104630291.235479,4.96477855024985,3.95422339906346,2.80081397473782,4.01955851729562,15.5195585172956
"LOCAR","ECB23L",7,2007,2007,2007-07-01,"Summer",182345411.525615,7584646.29920457,2.08701043535608,22.9302105093434,1.64498865379347,0,9.23078171104951
"LOCAR","ECB23L",7,2016,2016,2016-07-01,"Summer",278614678.496629,169779101.147663,5.35563353038045,2.62872633428661,2.9990380116025,4.73994973673626,16.2399497367363
"LOCAR","ECB23L",7,2015,2015,2015-07-01,"Summer",115078318.952695,120723640.348672,4.25959554737157,2.94032133713902,2.53886415221377,2.68852177249014,14.1885217724901
"LOCAR","ECB23L",7,2014,2014,2014-07-01,"Summer",366701280.824597,61386762.7956529,4.91539045843642,6.67270683257752,2.77869988391595,3.92745004917149,15.4274500491715
"LOCAR","ECB23L",7,2009,2009,2009-07-01,"Summer",509308399.691746,36838208.3320092,3.71465297950594,8.40308008926298,2.4354030885168,1.56564946856006,13.0656494685601
"LOCAR","ECB23L",7,2011,2011,2011-07-01,"Summer",258258420.172627,12468459.9198056,2.64470902529545,17.6759936826309,1.94672133172125,0,10.6191033914256
"LOCAR","ECB23L",7,2008,2008,2008-07-01,"Summer",433582766.290626,5178027.08530962,2.44470916581658,39.3442831529465,1.83699239168505,0,10.1293885593361
"LOCAR","ECB23L",8,2000,2000,2000-08-01,"Summer",56568838.8686094,98278379.8818315,3.76329320681264,3.19101482555435,2.45348005697655,1.67250194122991,13.1725019412299
"LOCAR","ECB23L",8,2004,2004,2004-08-01,"Summer",529651655.970313,20276167.5212528,3.36573868557031,13.8329012868698,2.30066380617518,0.79561655537145,12.2956165553714
"LOCAR","ECB23L",8,2003,2003,2003-08-01,"Summer",702815954.835593,107630903.63434,4.85608052565444,3.75982513825851,2.75354176015028,3.81641453414258,15.3164145341426
"LOCAR","ECB23L",8,2001,2001,2001-08-01,"Summer",337159084.910889,39696121.7198513,2.84223402493128,5.96664926318215,2.04983756544332,0,11.0907670164226
"LOCAR","ECB23L",8,1991,1991,1991-08-01,"Summer",712952622.250884,41509455.51953,4.21521153263091,8.4623520911753,2.53724688528747,2.59689239183089,14.0968923918309
"LOCAR","ECB23L",8,2002,2002,2002-08-01,"Summer",489464998.509688,33852408.0399636,3.9870085206075,9.81468466462992,2.49773565072354,2.14007224473084,13.6400722447308
"LOCAR","ECB23L",8,1998,1998,1998-08-01,"Summer",215936899.089893,90658854.5222542,4.4229963148811,4.06560427199766,2.57870433233042,3.00401227961018,14.5040122796102
"LOCAR","ECB23L",8,1997,1997,1997-08-01,"Summer",514626635.283261,32442946.6761703,4.42549167328366,11.3673698155328,2.58467487552022,3.00647844630434,14.5064784463043
